lat_grid,lon_grid,historical_events,log_events,historical_risk,risk_level
8.5,77.0,1,0.6931471805599453,10.21,LOW
8.5,77.25,8,2.1972245773362196,32.36,LOW
8.5,77.5,6,1.9459101490553132,28.66,LOW
8.75,76.75,12,2.5649493574615367,37.78,LOW
8.75,77.0,15,2.772588722239781,40.84,MODERATE
8.75,77.25,13,2.6390573296152584,38.87,LOW
9.0,77.0,21,3.091042453358316,45.53,MODERATE
9.0,77.25,17,2.8903717578961645,42.57,MODERATE
9.25,76.75,12,2.5649493574615367,37.78,LOW
9.25,77.0,44,3.8066624897703196,56.07,MODERATE
9.5,76.75,3,1.3862943611198906,20.42,LOW
9.5,77.0,33,3.5263605246161616,51.94,MODERATE
9.5,77.25,20,3.044522437723423,44.85,MODERATE
9.5,77.5,5,1.791759469228055,26.39,LOW
9.75,76.75,68,4.23410650459726,62.37,HIGH
9.75,77.0,312,5.746203190540153,84.64,CRITICAL
9.75,77.25,64,4.174387269895637,61.49,HIGH
9.75,77.5,6,1.9459101490553132,28.66,LOW
9.75,77.75,1,0.6931471805599453,10.21,LOW
10.0,76.5,5,1.791759469228055,26.39,LOW
10.0,76.75,71,4.276666119016055,62.99,HIGH
10.0,77.0,887,6.78897174299217,100.0,CRITICAL
10.0,77.25,176,5.176149732573829,76.24,HIGH
10.25,76.5,11,2.4849066497880004,36.6,LOW
10.25,76.75,38,3.6635616461296463,53.96,MODERATE
10.25,77.0,229,5.438079308923196,80.1,CRITICAL
10.25,77.25,65,4.189654742026425,61.71,HIGH
10.25,77.5,144,4.976733742420574,73.31,HIGH
10.25,77.75,35,3.58351893845611,52.78,MODERATE
10.5,76.25,32,3.4965075614664802,51.5,MODERATE
10.5,76.5,44,3.8066624897703196,56.07,MODERATE
10.5,76.75,134,4.90527477843843,72.25,HIGH
10.5,77.0,102,4.634728988229636,68.27,HIGH
10.5,77.75,11,2.4849066497880004,36.6,LOW
10.75,76.25,10,2.3978952727983707,35.32,LOW
10.75,76.5,20,3.044522437723423,44.85,MODERATE
10.75,76.75,22,3.1354942159291497,46.19,MODERATE
11.0,76.0,4,1.6094379124341003,23.71,LOW
11.0,76.25,6,1.9459101490553132,28.66,LOW
11.0,76.5,139,4.941642422609304,72.79,HIGH
11.0,76.75,74,4.31748811353631,63.6,HIGH
11.25,76.0,95,4.564348191467836,67.23,HIGH
11.25,76.25,88,4.48863636973214,66.12,HIGH
11.25,76.5,78,4.3694478524670215,64.36,HIGH
11.25,76.75,420,6.042632833682381,89.01,CRITICAL
11.25,77.0,82,4.418840607796598,65.09,HIGH
11.25,77.5,3,1.3862943611198906,20.42,LOW
11.5,75.75,21,3.091042453358316,45.53,MODERATE
11.5,76.0,235,5.4638318050256105,80.48,CRITICAL
11.5,76.25,168,5.1298987149230735,75.56,HIGH
11.5,76.5,106,4.672828834461906,68.83,HIGH
11.5,76.75,105,4.663439094112067,68.69,HIGH
11.5,77.0,28,3.367295829986474,49.6,MODERATE
11.75,75.75,107,4.68213122712422,68.97,HIGH
11.75,76.0,92,4.532599493153256,66.76,HIGH
11.75,76.25,8,2.1972245773362196,32.36,LOW
11.75,78.25,12,2.5649493574615367,37.78,LOW
12.0,75.5,5,1.791759469228055,26.39,LOW
12.0,75.75,55,4.02535169073515,59.29,MODERATE
12.0,76.0,9,2.302585092994046,33.92,LOW
12.25,75.5,39,3.6888794541139363,54.34,MODERATE
12.25,75.75,5,1.791759469228055,26.39,LOW
12.5,75.25,1,0.6931471805599453,10.21,LOW
12.5,75.5,25,3.258096538021482,47.99,MODERATE
12.5,75.75,149,5.0106352940962555,73.81,HIGH
12.75,74.75,1,0.6931471805599453,10.21,LOW
12.75,75.0,16,2.833213344056216,41.73,MODERATE
12.75,75.25,29,3.4011973816621555,50.1,MODERATE
12.75,75.5,4,1.6094379124341003,23.71,LOW
12.75,75.75,24,3.2188758248682006,47.41,MODERATE
13.0,74.75,1,0.6931471805599453,10.21,LOW
13.0,75.0,29,3.4011973816621555,50.1,MODERATE
13.0,75.25,6,1.9459101490553132,28.66,LOW
13.0,75.5,90,4.51085950651685,66.44,HIGH
13.0,75.75,13,2.6390573296152584,38.87,LOW
13.0,76.0,1,0.6931471805599453,10.21,LOW
13.25,75.0,1,0.6931471805599453,10.21,LOW
13.25,75.25,40,3.713572066704308,54.7,MODERATE
13.25,75.5,44,3.8066624897703196,56.07,MODERATE
13.25,75.75,15,2.772588722239781,40.84,MODERATE
13.5,74.75,1,0.6931471805599453,10.21,LOW
13.5,75.0,20,3.044522437723423,44.85,MODERATE
13.5,75.25,68,4.23410650459726,62.37,HIGH
13.5,75.5,15,2.772588722239781,40.84,MODERATE
13.5,75.75,27,3.332204510175204,49.08,MODERATE
13.75,74.5,1,0.6931471805599453,10.21,LOW
13.75,74.75,10,2.3978952727983707,35.32,LOW
13.75,75.0,86,4.465908118654584,65.78,HIGH
13.75,75.25,75,4.330733340286331,63.79,HIGH
13.75,75.5,17,2.8903717578961645,42.57,MODERATE
14.0,74.5,6,1.9459101490553132,28.66,LOW
14.0,74.75,90,4.51085950651685,66.44,HIGH
14.0,75.0,56,4.04305126783455,59.55,MODERATE
14.0,75.25,47,3.871201010907891,57.02,MODERATE
14.0,75.5,2,1.0986122886681098,16.18,LOW
14.25,74.5,61,4.127134385045092,60.79,HIGH
14.25,74.75,67,4.219507705176107,62.15,HIGH
14.25,75.0,3,1.3862943611198906,20.42,LOW
14.5,74.25,30,3.4339872044851463,50.58,MODERATE
14.5,74.5,58,4.07753744390572,60.06,HIGH
14.5,74.75,63,4.1588830833596715,61.26,HIGH
14.5,75.0,4,1.6094379124341003,23.71,LOW
14.5,75.5,1,0.6931471805599453,10.21,LOW
14.75,74.0,3,1.3862943611198906,20.42,LOW
14.75,74.25,43,3.784189633918261,55.74,MODERATE
14.75,74.5,6,1.9459101490553132,28.66,LOW
14.75,74.75,50,3.9318256327243257,57.91,MODERATE
14.75,75.0,9,2.302585092994046,33.92,LOW
15.0,74.0,19,2.995732273553991,44.13,MODERATE
15.0,74.25,14,2.70805020110221,39.89,LOW
15.0,74.5,19,2.995732273553991,44.13,MODERATE
15.0,74.75,20,3.044522437723423,44.85,MODERATE
15.25,74.0,8,2.1972245773362196,32.36,LOW
15.25,74.25,5,1.791759469228055,26.39,LOW
15.25,74.5,19,2.995732273553991,44.13,MODERATE
15.25,74.75,2,1.0986122886681098,16.18,LOW
15.5,74.0,20,3.044522437723423,44.85,MODERATE
15.5,74.25,35,3.58351893845611,52.78,MODERATE
15.5,74.5,1,0.6931471805599453,10.21,LOW
15.75,73.75,12,2.5649493574615367,37.78,LOW
15.75,74.0,44,3.8066624897703196,56.07,MODERATE
15.75,74.25,11,2.4849066497880004,36.6,LOW
15.75,74.75,4,1.6094379124341003,23.71,LOW
16.0,73.5,4,1.6094379124341003,23.71,LOW
16.0,73.75,12,2.5649493574615367,37.78,LOW
16.0,74.0,35,3.58351893845611,52.78,MODERATE
16.0,74.25,3,1.3862943611198906,20.42,LOW
16.0,75.0,1,0.6931471805599453,10.21,LOW
16.25,73.75,16,2.833213344056216,41.73,MODERATE
16.25,74.0,13,2.6390573296152584,38.87,LOW
16.25,74.25,2,1.0986122886681098,16.18,LOW
16.5,73.5,5,1.791759469228055,26.39,LOW
16.5,73.75,51,3.9512437185814275,58.2,MODERATE
16.5,74.0,11,2.4849066497880004,36.6,LOW
16.75,73.25,1,0.6931471805599453,10.21,LOW
16.75,73.5,11,2.4849066497880004,36.6,LOW
16.75,73.75,25,3.258096538021482,47.99,MODERATE
16.75,74.0,5,1.791759469228055,26.39,LOW
16.75,74.25,1,0.6931471805599453,10.21,LOW
17.0,73.25,6,1.9459101490553132,28.66,LOW
17.0,73.5,32,3.4965075614664802,51.5,MODERATE
17.0,73.75,42,3.7612001156935624,55.4,MODERATE
17.0,74.0,12,2.5649493574615367,37.78,LOW
17.25,73.25,23,3.1780538303479458,46.81,MODERATE
17.25,73.5,39,3.6888794541139363,54.34,MODERATE
17.25,73.75,39,3.6888794541139363,54.34,MODERATE
17.25,74.0,20,3.044522437723423,44.85,MODERATE
17.5,73.25,32,3.4965075614664802,51.5,MODERATE
17.5,73.5,27,3.332204510175204,49.08,MODERATE
17.5,73.75,76,4.343805421853684,63.98,HIGH
17.5,74.0,68,4.23410650459726,62.37,HIGH
17.75,73.0,3,1.3862943611198906,20.42,LOW
17.75,73.25,22,3.1354942159291497,46.19,MODERATE
17.75,73.5,37,3.6375861597263857,53.58,MODERATE
17.75,73.75,71,4.276666119016055,62.99,HIGH
17.75,74.0,5,1.791759469228055,26.39,LOW
18.0,73.0,15,2.772588722239781,40.84,MODERATE
18.0,73.25,35,3.58351893845611,52.78,MODERATE
18.0,73.5,91,4.5217885770490405,66.6,HIGH
18.0,73.75,39,3.6888794541139363,54.34,MODERATE
18.0,74.0,1,0.6931471805599453,10.21,LOW
18.25,73.0,25,3.258096538021482,47.99,MODERATE
18.25,73.25,26,3.295836866004329,48.55,MODERATE
18.25,73.5,64,4.174387269895637,61.49,HIGH
18.25,73.75,26,3.295836866004329,48.55,MODERATE
18.25,82.75,5,1.791759469228055,26.39,LOW
18.25,83.0,24,3.2188758248682006,47.41,MODERATE
18.5,73.0,14,2.70805020110221,39.89,LOW
18.5,73.25,5,1.791759469228055,26.39,LOW
18.5,73.5,72,4.290459441148391,63.2,HIGH
18.5,73.75,45,3.828641396489095,56.4,MODERATE
18.75,73.0,5,1.791759469228055,26.39,LOW
18.75,73.25,7,2.0794415416798357,30.63,LOW
18.75,73.5,23,3.1780538303479458,46.81,MODERATE
18.75,73.75,1,0.6931471805599453,10.21,LOW
19.0,72.75,1,0.6931471805599453,10.21,LOW
19.0,73.25,17,2.8903717578961645,42.57,MODERATE
19.0,73.5,13,2.6390573296152584,38.87,LOW
19.0,73.75,28,3.367295829986474,49.6,MODERATE
19.0,74.0,5,1.791759469228055,26.39,LOW
19.25,72.75,1,0.6931471805599453,10.21,LOW
19.25,73.75,40,3.713572066704308,54.7,MODERATE
19.25,74.0,1,0.6931471805599453,10.21,LOW
19.5,73.75,52,3.970291913552122,58.48,MODERATE
19.5,74.0,8,2.1972245773362196,32.36,LOW
19.75,73.75,2,1.0986122886681098,16.18,LOW
